id,full_name,short_name,email,company_id,tenant_id,company_tier,is_spam,status,created_at,updated_at
1add46d0-1a31-4649-afe6-eb013b0bf5bc,Diana Nelson,Diana,diana.nelson@turso.com,ec325484-1f40-48e8-92d6-3910fe63fcd0,7573504f-09b1-4b98-bf10-582e7515f07b,starter,False,active,2026-04-09T23:17:17Z,2026-05-31T10:56:52Z
653ddef3-771b-4b1b-ad57-4dd2081799fc,Uma Carter,Uma,uma.carter@railway.com,802db9eb-760d-4e29-b399-d9865b2bbd44,b14991b4-d846-49b9-b94c-b89a7fd38391,pro,False,active,2025-10-25T01:16:34Z,2026-06-01T04:03:03Z
95209637-e5a7-48c9-a88c-0621d259afd5,Diana Nelson,Diana,diana.nelson@resend.com,ae72b7a5-681c-4f41-8da1-0053ab63697a,923263b3-a693-4c5d-b281-38cce8da8434,starter,False,idle,2026-05-18T04:54:08Z,2026-06-05T07:06:52Z
1a083694-115e-4594-b34b-bb9bdfcfb6a0,Diana Moore,Diana,diana.moore@granola.com,6520df4d-de7e-479a-abc1-840493a832ae,046db69f-e71a-47d9-99bf-11eb7cda64cc,pro,False,active,2025-10-21T01:18:55Z,2026-05-31T11:18:10Z
a9e77737-32ef-4a01-b737-fd821906b1c6,Julia Young,Julia,julia.young@scalar.com,c8158521-c7d5-4739-8ccd-a6792209c05b,31ffa620-134b-401a-bcb0-b2174a8b3931,free,False,churned,2025-12-02T22:26:35Z,2026-06-05T02:21:52Z
91708b87-b7e8-4bc9-8fd8-2236af4df06b,Fiona Moore,Fiona,fiona.moore@supabase.com,633b0a08-c3f9-4031-8b1d-c6545a5e6f29,e5c5138a-8a2f-436d-9d66-ba6af27ca1e4,starter,False,active,2026-05-15T18:30:51Z,2026-06-03T21:48:07Z
aaf67b22-e4e8-4ce9-b95e-75daf18df3ca,Victor Davis,Victor,victor.davis@zuplo.com,118f6dfc-a234-4a77-ba43-584f60838f39,ba9ed1ce-f53d-4481-885b-8841caa75c10,starter,False,idle,2025-09-03T04:57:50Z,2026-05-25T17:39:29Z
1efa70a3-0c56-414a-b89d-eb1c14de813d,Amir Jones,Amir,amir.jones@valtown.com,cde2f44d-ce1b-4d35-babc-4110dd9341ac,cd4e87aa-a4f0-4db7-a0ac-91a7190f7156,starter,False,idle,2026-05-16T17:07:43Z,2026-05-30T23:40:14Z
08dd44d1-195f-4fd7-b4c1-51757e97b05a,Ivan Thompson,Ivan,ivan.thompson@zuplo.com,118f6dfc-a234-4a77-ba43-584f60838f39,982fdd8a-6f85-4942-a076-1280fd20c322,starter,False,idle,2025-12-27T08:07:12Z,2026-05-28T08:58:12Z
befa89d0-75ec-4a35-b56e-2c1ece8a6551,Yara Wright,Yara,yara.wright@clerk.com,fff595df-ffc7-4c41-aae8-59fd047cd767,4d74886f-f7ab-4907-9171-9069900ea1ee,starter,False,active,2025-10-04T01:09:41Z,2026-05-31T12:52:04Z
fc93e96e-8092-48c8-ab7a-8afe85e9a46a,Carlos Martin,Carlos,carlos.martin@flyio.com,1c233e24-18aa-4dad-b06a-b633020b42a1,923263b3-a693-4c5d-b281-38cce8da8434,pro,False,idle,2026-02-22T20:23:27Z,2026-06-02T22:37:57Z
4f39b891-07d1-4c27-a7b8-1a50145f624d,Oscar Williams,Oscar,oscar.williams@inngest.com,a755e948-e657-4b5a-ad89-6a24a010c102,67422661-6f3d-43e2-9578-bc52a1fe82c1,enterprise,False,active,2026-03-04T20:19:12Z,2026-05-31T01:24:24Z
3ace9f7d-e70d-45d7-b68c-90cf8d1bb5b6,Bob Miller,Bob,bob.miller@railway.com,802db9eb-760d-4e29-b399-d9865b2bbd44,ba9ed1ce-f53d-4481-885b-8841caa75c10,pro,False,active,2026-01-02T14:33:09Z,2026-06-07T06:04:18Z
23d09bbe-6df3-4125-bc07-d416a51fad5c,Chen Scott,Chen,chen.scott@loops.com,a20861f3-872e-4354-9227-8dbaa87488ca,9c3bacaf-0e6f-469f-8963-172d0d8d6a1f,free,False,idle,2026-01-13T06:06:32Z,2026-05-29T00:02:12Z
b1eb70ca-aa37-4a6f-a657-8f000b770a65,Hannah Nelson,Hannah,hannah.nelson@neon.com,eac4924a-7d64-47ad-9cb1-123d399b4d06,17bacc50-60e1-437c-8af9-2dd6bde25d24,pro,False,idle,2025-09-06T19:46:15Z,2026-05-31T13:14:52Z
ad245d7a-2259-423f-9a9b-269287e8b0f6,Amir Martin,Amir,amir.martin@resend.com,ae72b7a5-681c-4f41-8da1-0053ab63697a,923263b3-a693-4c5d-b281-38cce8da8434,starter,False,active,2025-08-17T21:18:03Z,2026-05-25T19:22:57Z
f8dbd4e9-cf31-44b7-bfa0-70ebe938519d,Ivan Baker,Ivan,ivan.baker@scalar.com,c8158521-c7d5-4739-8ccd-a6792209c05b,31ffa620-134b-401a-bcb0-b2174a8b3931,free,False,active,2025-10-13T14:08:15Z,2026-05-27T11:10:51Z
76d19526-04bd-4300-8829-1285838b1de3,Bella Jones,Bella,bella.jones@flyio.com,1c233e24-18aa-4dad-b06a-b633020b42a1,2552eef4-07fe-4d86-bfaf-b7aa52e6d0b9,pro,False,idle,2026-01-24T05:47:36Z,2026-06-02T00:37:52Z
c35df00b-f35d-474b-886c-65e3c1e7f91c,Hannah Carter,Hannah,hannah.carter@zuplo.com,118f6dfc-a234-4a77-ba43-584f60838f39,238137c7-6fe4-4170-9e47-716199795634,starter,False,idle,2025-10-18T06:38:28Z,2026-05-27T11:31:07Z
f83a3265-4a17-4e2a-9439-8baedd474b9a,Paula Johnson,Paula,paula.johnson@fern.com,8a67eabb-d5ad-4590-a3fd-6cf685180c10,af75a208-7323-4212-9a6b-051fda6102e5,free,False,active,2026-04-29T13:12:41Z,2026-05-27T06:33:45Z
